,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
200108,306.02,3048.22,2503.74,8831.14,22316.25,383.06,600.17,2083.59,3048.34,637.2,1375.57,991.93,4563.52,2175.22,303.07,270.93,1155.67,578.02,1115.64,211.66,1200.55,863.84,2216.9,8522.92,2269.63,2786.38,833.24,799.7,1073.28,3848.14,3331.71,5925.35,526.57,823.63,3344.39,1944.96,2205.01,844.76,2700.59,751.77,1326.18,928.4,3237.63,879.09,2013.58,4335.28,262.41,2812.1,9696.83
200109,323.05,3132.36,2610.54,9361.79,23358.39,396.35,590.98,2024.68,3077.7,608.26,1367.02,984.89,4399.01,2141.44,312.26,250.17,1178.52,545.04,1058.67,199.34,1142.08,848.39,1887.06,7952.97,2240.95,2808.82,1059.08,788.75,1139,3690.65,3332.88,5407.21,511.05,798.56,2795.59,1672.37,2031.21,795.33,2648.1,743.66,1261.62,898.46,2986.59,903.36,1880.77,4185.43,269.15,2636.07,9317.44
200110,295.4,3158.26,2644.31,9036.91,23750.03,333.45,486.9,1858.22,2999.92,499.58,1367.47,970.18,4392.86,1931.4,285.61,207.69,1029.26,450.23,824.75,170.85,919.15,734.43,1548.81,5631.44,2420.92,3099.72,1439.23,706.09,960.28,3250.78,3128.58,5363.74,484.4,706.18,2109.28,1461.39,1538.01,655.99,2420.37,650.17,1053.88,832.62,2703.52,788.93,1772.23,4165.99,250.53,2275.01,8297.3
200111,311,3203.85,2817.71,9159.49,23080.62,382.56,509.63,1857.93,3072.01,549.71,1281.01,957.24,4526.17,2000.26,316.81,228.35,1077.57,498.52,854.62,177.93,1035.14,751.51,1509.02,5992.54,2299.99,3425.67,1363.19,741.35,1248.35,3413.09,3165.43,5017.5,477.86,757.18,2663.12,1682.75,1814.79,736.45,2518.72,692.68,1107.47,788.75,2847.68,827.5,1760.62,4044.23,254.76,2349.61,8313.86
200112,329.93,3242.76,2695.06,9121.8,23355.77,409.51,576.46,2031.68,3304.92,603.5,1304.57,1046.1,4750,2214.74,312.93,246.24,1152.31,551.62,1002.84,187.08,1123.15,821.6,1801.86,6520.02,2333.27,3259.83,987.13,825.71,1066.59,3282.33,3101.58,5369.46,516.31,834.77,3288.82,1914.2,2179.93,818.39,2752.41,747.47,1270.26,764.07,3217.88,882.22,1884.03,4299.86,267.84,2718.17,9226.93
200201,349.25,3306.51,2895.68,9812.58,22663.2,412.11,642.59,2104.67,3364.59,664.82,1327.86,1092.59,4577.08,2178.39,332.43,289.91,1225.69,624.59,990.36,195.44,1204.46,864,1730.79,6972.11,2242.61,3278.77,961.62,871.22,1174.71,3501.61,3241.04,5572.54,555.78,896.91,3078.77,2005.32,2090.5,872.18,2794.94,808.78,1308.5,777.48,3428.3,927.76,1970.91,4415.89,288.36,2890.75,9604.75
200202,345.07,3371.56,2647.12,9443.71,24576.57,446.23,711.31,2111.96,3494.02,711.95,1340.34,1082.08,4456.42,2166.83,333.72,318.73,1240.1,653.69,1017.67,184.17,1239.22,894.65,1846.71,7283.99,2488.85,3694.86,1098.16,847.08,1063.7,3402.79,3096.27,5336.33,570.97,878.37,3275.62,1920.45,2190.87,837.1,2775.41,876.64,1438.81,807.97,3499.72,996.45,1965.59,4410.39,298.04,2848.13,8865.36
200203,363.02,3396.83,2861.98,10841.24,25814.46,439.15,754.85,2267.71,3585.32,705.91,1288.9,1030,4472.83,2262.96,367.02,336.2,1295.97,701.78,1030.85,194.72,1286.78,887.56,1981.4,7944.39,2517.48,3921.65,1222.22,861.48,1043.8,3596.05,3070.01,5362.8,590.98,876.38,2605.71,1749.52,1838.22,829.86,2849.04,933.82,1477.99,797.39,3544.68,1003.08,1952.43,4528.09,301.31,2765.68,9017.12
200204,382.67,3479.73,3030.52,11710.91,25932.98,487.01,822.89,2374.96,3804.99,738.75,1477.95,1090.54,4449.39,2372.75,404.3,338.52,1336.93,711.88,1126.97,218.99,1412.7,935.43,2255.66,8184.63,2615.09,4055.06,1405.79,901.6,1198.42,3894.92,3406.29,5482.21,612.33,960.37,2872.99,1830.97,2041.62,893.79,2931.91,1112.36,1551.95,843.61,3610.96,1057.88,2122.8,4635.88,307.48,3061.16,9106.88
200205,400.94,3510.06,3248.32,12301.21,26785.82,497.76,877.38,2312.85,3798.14,772.31,1604.64,1063.38,4024.73,2257.07,415.83,390.67,1367.65,770.78,1046.77,239.96,1379.72,924.64,2290.81,7818.05,2701.61,4404.84,1463.4,880.98,1119.88,3742.23,3386.17,4894.21,602.13,909.55,2545.97,1564.86,1884.73,807.3,3005.92,1123.25,1457.33,841.7,3530.04,1134.54,2115.08,4751.28,315.77,2741.9,7996.31
200206,413.56,3550.47,3620.3,12229.48,27996.99,483.97,836.28,2306.45,3845.62,771.21,1641.88,1082.71,3913.41,2296.57,430.32,391.65,1361.57,733.28,1080.76,219.71,1319.17,942.69,2299.89,7804.94,2758.74,4346.8,1625.66,924.73,1176.05,3695.55,3159.01,5241.11,597.57,894.61,2549.22,1502.75,1832.03,770.1,3018.29,1080.99,1454.14,806.31,3518.69,1153.52,2128.85,4667.23,297.09,2704.41,7881.26
200207,618.22,3732.3,3575.19,12896.12,20965.74,482.37,1801.7,2183.63,3598.25,726.71,1419.66,1002.95,3365.3,2375.3,448.33,447.35,1231.31,802.74,1071.64,244.06,1166.04,796.72,2091.54,6289.57,2927.78,4920.35,2367.42,875.94,1076.69,4088.83,3104.3,4601.03,671.04,781.98,2268.81,1314.98,1451.03,644.1,3245.93,1045.03,1516.99,803.74,3292.52,1120.71,2040.86,4826.05,316.55,2238.62,6973.87
